headline,relation,labels
청정국 회복 한달만에 '고병원성 AI' 또 발생…자정부터 이동중지명령 발동(종합),O,1
[김현주의 일상 톡톡] 올 여름에도 '방콕'하는 이유,X,0
"""세계는 에볼라와 싸움에서 지고 있다""",O,1
"당국, 메르스 유전자 변이 분석결과 이르면 내일 발표",O,1
[뉴스7 헤드라인],X,0
"전시·이벤트업계 ""매출 70%감소…위드코로나 방역 전환해달라""",O,1
'용기'가 빛난 5인,X,0
박수치는 문재인 대통령,X,0
"에볼라 다시 꿈틀, 남서부 지역 5군데 비상사태 선포",O,1
윤석열 토론 데뷔... 洪·劉 집중 견제에도 '진검 승부' 피했다,X,0
중국 내 한국산 화장품 인기…수입사 가격 인하에 '경쟁력 확보' 숙제,X,0
"전남도, 손 씻기·기침예절 등 개인위생 수칙 준수 적극 홍보",O,1
홍천강변축제 22일 개막…세월호· 메르스로 잇딴 연기끝에 개최,O,1
'메르스 곤혹스럽네',O,1
"추기 석전대제, 올해도 마스크",O,1
"檢, 대마 재배하고 다크웹서 판매한 7명 ‘범죄집단체조직죄’ 기소",X,0
"화인썬트로닉스, 왜 부도났나?..의혹 증폭",X,0
"이재용 ""메르스 확산, 머리숙여 사죄…병원 대대적 혁신""",O,1
"재정부 ""경제 회복 지속…속도는 주춤""",X,0
오늘의 주요뉴스(07:00),X,0
올해 관광수지 적자 최대 경신,X,0
"금호고속 노사, 임금협약 타결",X,0
"우리자산신탁, 서울남부혈액원에 방역물품 지원",O,1
중국 수입 열연코일가격 반등..POSCO 호재-한화,X,0
"멕시코 대통령 ""美, 쿠바 수출금지 풀어야""",X,0
"'로봇이 건강 모니터링' 충주시, 스마트 케어 사업 본격 추진",O,1
[양구]전통시장 활성화 행사 추진,X,0
"[메르스 현황] 12일, 삼성서울병원 이송요원 외1명 퇴원 ‘18일 이후 종식 가능성 ↑’",O,1
"해외 카드소비, 최근 5년간 66% 급증",X,0
"문 대통령 ""이번주 국민 70% 1차 접종…2차 목표도 조기 달성할 것""",O,1
추석 '이젠 소주보다 양주가 대세',X,0
[속보]메르스 환자 동승 버스탑승객 6명 명단 확보,O,1
"금융 CEO가 읽고 있는 책, 추석 연휴 동안 나도 한번 읽어볼까?",X,0
[추석민심 들여다보니]도덕성 보다 경제살리기 였다,X,0
`C형 간염` 병원에 AIDS환자 다녀가,O,1
거제서 콜레라 추가 환자 확인,O,1
“불가리스 코로나 예방 효과” 남양유업 임원 검찰 송치,O,1
"방역당국 ""아직 한국은 지카바이러스 위험 적어""",O,1
"안철수, 대장동 첫 보도 기자 만나 “특검으로 가야”",X,0
"중국, 신종플루 사망자 5명째",O,1
"‘신생아 4명 잇단 사망’ 이대목동병원, 이전에도 잦은 사고 구설수",X,0
인플루엔자 A '공포'…돼지고기 소비 계속 줄어,O,1
"민주당 전북도당, 추석 맞아 군산지역 사회복지시설 방문",X,0
지카 바이러스 법정감염병 지정,O,1
"청와대 ""박원순 시장 발표, 불안감 커져 우려스러워""",X,0
"[경향포토]황교안 총리 ""메르스 안심해도 좋다는 판단""...사실상 종식 선언",O,1
메르스 총괄 본부만 4개…‘컨트롤 타워’ 혼선,O,1
"이종걸 ""문형표 장관, 연금 논의 걸림돌"" 당정 압박",X,0
"구례군, 진드기 매개 감염병 예방 캠페인",X,0
"임기 마지막 유엔총회…""포용·협력의 지구공동체 시대""",X,0
삼성서울병원 메르스 상황 언론 브리핑 <현장연결>,O,1
"황 총리, 이희호 예방…""방북 실무협의 지원""",X,0
중국발 크루즈 인천행 급감,X,0
[인터랙티브] 우리 동네 메르스 국민안심병원 찾기,O,1
대불자유무역 선포식 장소변경 논란,X,0
의왕시 ‘먹거리 그냥드림코너’ 연장운영…12월말,X,0
다시 재개된 음주운전 단속,X,0
마지막 메르스 환자 양성 반응 ‘퇴원한지 열흘 만에 재발’,O,1
태권도대표팀 태릉선수촌 퇴촌…세계선수권은 출전,X,0
"WHO ""에볼라 감염 사망자 887명""",O,1
"굿뉴스의료봉사회 ""에볼라 바이러스로 의료봉사 계획 취소""",O,1
오늘의 주요뉴스 <오후 3시>,X,0
'메르스 경영난' 의료기관에 건강보험 비용 선지급,O,1
에볼라 발병 지역에 11월초 선발대 파견,O,1
"`유커를 모셔라`...유통업계, 황금연휴 손님맞이 분주",X,0
WHO 국제비상사태 선포 여부 주목,O,1
"마이크로소프트, 사상 첫 채권 발행",X,0
"라이베리아인, 입국 후 행방 묘연…""혹 에볼라 감염자?""",O,1
"한국 찾은 유커, 대형마트 찾는 발길 늘었다",X,0
"국수본, 대장동 개발 특혜 의혹 수사 착수…경기남부청 배당",X,0
다보스포럼 개막…'새로운 글로벌 상황' 논의,X,0
"심상정 ""20세 모든 청년에 3천만 원 지급…동등한 출발선 지원""",X,0
명절 앞두고 심심하다면…OTT 신작 어때,X,0
밥 먹었수꽈?... 제주어 뒤끝이 짧은 이유,X,0
[클릭! `넷 브리핑`] 통신요금 미환급금 조회 인기,X,0
[그래픽뉴스] 연령별·성별·날짜별 메르스 환자 발생 현황 (7.4),O,1
7월까지 세금 55조 더 걷혔다... 재정적자폭 작년보다 55조 감소,X,0
"[단독]서울 찾은 외국인 관광객, 벌써 1000만…사상 최대",X,0
코로나19 중대본 회의,O,1
추석연휴에도 분주한 의료진,O,1
[속초]“스포츠 대회 유치로 상경기 활성화”,X,0
"국내 주식형 펀드 자금, 2거래일 연속 순유입",X,0
"'겨울이 있는 나라, 한국에 오세요' 관광공사, 말레이시아 여행박람회 역대 최대규모 참가",X,0
"빙그레, 바닥을 다져가는 실적",X,0
경기 관람도 깨끗하게!,X,0
대구.경북 학교 13곳 휴교 및 개학연기,X,0
금융당국，‘신종플루 묻어가기’ 단속,O,1
"추석 연휴, 갑자기 아플 땐 129·119·120",X,0
'요건 미충족' 메르스 국민안심병원 3곳 지정 철회,O,1
"제주도, 민간의료기관 코로나19 진단검사 진찰료 지원",O,1
劉  “대통령께 죄송”  vs  “책임지고 사퇴”  靑,X,0
[종합] 순창서 코로나 집단감염 '폭발'...요양병원에 이어 이번엔 대안학교,O,1
SI ‘전염우려 높음’ 4단계 경보로 격상,O,1
"中, 조류독감 추가 사망…부녀 동시감염, 인간間 전염 우려",O,1
국내외 종교행사 통해 신종플루 확산,O,1
"WHO, '신종 코로나'에 6번째 '국제 공중보건 비상사태' 선포 의미는?",X,0
원자재 값 급등에 재평가받는 종합상사株...삼성證 LX인터 목표가 36% 올려,X,0
큰기러기도 AI 감염…고병원성 확진 5곳으로 늘어,O,1
"지카바이러스, 싱가포르서 급속 확산 ‘누적 감염자 151명’",O,1
"""5월 관심 테마종목""<우리증권>",X,0
"[단독]취업땐 이런 모습? ""삼성은 정장, 현대는 작업복, LG는…""",X,0
[메르스 공포]평택서 치료받던 확진 환자 인천 모 병원 이송,O,1
"[중부단신]증평군, 식품접객업소 위생용품 지원 등",X,0
"유대운 ""경찰관의 메르스 노출, 전혀 관리 안 돼""",O,1
코로나19 장기화…당신의 어깨가 위험하다 [의술인술],O,1
<북핵.경제 총력외교전>(종합),X,0
오후 6시까지 서울 557명 신규 확진…전날보다 143명↑,O,1
"AI 확진, 부안의 오리농장 앞에 설치된 거점소독시설",O,1
"남동발전-진주시, 협업 경력단절여성 일자리창출 '맞손'",X,0
미국 텍사스 의료요원 또 에볼라 양성반응(1보),O,1
"국민 90% ""코로나 종식 불가능... 독감처럼 계속 백신 맞아야""",O,1
"안산시, 빅데이터 활용한 ‘코로나19 맞춤형 방역’ 나선다",O,1
불안감에 더?…펄펄 끓는 '메르스 테마주',O,1
인천 신규 확진 139명…1명 사망 후 양성 판정,O,1
"최경환 총리 직무대행, 메르스 대응조치 발표 <현장연결>",O,1
"[데일리안 오늘뉴스 종합] 이준석·최재형, 추석 첫날 냉면 회동…""비단주머니 받았다""/윤석열·유승민·원희룡, 청년에 호소 ""공정한 나라 만들겠다""/ '이재명이냐 추미애냐' 등",X,0
"""염지 안했는데도 맛있다"" 입소문에 매출 47% 급증한 치킨 프랜차이즈",X,0
"WHO ""신종플루 사나흘에 두 배 증가"" 경고",O,1
"""임신부 신종플루 백신 반드시 맞아야""",O,1
[신종플루 확산 비상] 의료인·방역요원·임신부·영유아 백신 우선 접종,O,1
"안양 메르스, 첫 확진자 발생 ""삼성서울병원서 부인 간호하다가..""",O,1
'시청률 10% 실종시대'…정말 TV영향력이 줄어서일까,X,0
경기도 ‘신종감염병’ 대응 281억 투입…인프라 확충,O,1
"당정, 신종플루 대책논의",O,1
“아버지ㆍ언니…”버스창 사이로 하염없는 눈물만,X,0
"부산, 감염병 예고제 시행...'감염병 뉴스레터' 발간",O,1
"코로나 집콕에 펫팸족 증가… 유통업계, 반려동물 서비스 키운다",O,1
[2016 달라지는 것들]‘예방’으로 국민안전 강화…관광호텔 규제 완화,X,0
[뉴스해설] “가뭄 극복 총력 대응해야”,X,0
고병원성 AI로 5건 추가 확진,O,1
[명의를 찾아서] 변석수 분당서울대 교수 “전립선암 10년 후 韓 남성 암 1위… 유전력 있다면 조기진단해야”,X,0
"[메르스 재난] 사우디 전문가들 “사우디, 대가족 사회라 공동체 감염 한국선 지역사회 4차 감염 없을 것”",O,1
"지카바이러스 증상, 고열·발진·관절통 등…임산부 대처방안은?",O,1
계란에 과민반응 있다면 접종 피해야,O,1
"[속보]당국 ""메르스 사망자 매장 비용은 지원 제외""",O,1
"애경, 신종플루 맞서 '향균 핸드 클렌저·살균 핸드젤' 출시",O,1
[특집 | ‘6·25 발언’ 일파만파] 위기는 기회? 문재인 기사회생하나,X,0
"C형간염, 내성균 2종(VRSA, CRE) 전수감시 시작, 잡단 감염을 조기 인지하여 선제적 대응한다!",O,1
메르스 사망자 24명…치사율 14.5%,O,1
"KT-다보스포럼, '감염병 확산방지 프로젝트' 맞손",O,1
"서원초등학교, 신종플루 예방접종 실시",O,1
동남아 여행 주의！… 국내 첫 뎅기열 해외 집단 감염,X,0
브리핑하는 엄중식 한림대강동성심병원 교수,X,0
제천국제음악영화제 신종플루 대비 총력,O,1
"NH농협생명, 메타버스 플랫폼서 시상식 개최…비대면 소통 강화",O,1
"메르스 임신부, 아들 출산…‘태반조기박리’ 현상에 제왕절개, 현재 상태는?",O,1
상임위원장·간사단회의 주요내용[보도자료],X,0
"[조간 헤드라인] 대구·경북(6일, 월)",X,0
"대구, 신종 플루 환자 9명 추가 발생",O,1
설탕 대체 '안전한' 감미료가 악명높은 장염 급증 주범으로 의심,X,0
"문 대통령 ""10월 말 70% 2차 접종 조기 달성…접종 완료율 세계 앞설 것""",O,1
홍콩 에볼라 바이러스 감염 의심환자 발생…‘전세계 감염 우려’,O,1
촌스럽다고?..`빨간 내복'의 부활,X,0
최경환 총리 직무대행 정부 대응조치 발표 (전문),X,0
사우디아라비아서 귀국 20대 여성 메르스 의심 증상,O,1
"‘코로나 위기’ 인천공항, 해외서 활로 모색",O,1
"최경환 부총리 ""메르스 여파로 손님 많이 줄었지요?""",O,1
"모간스탠리, 中성장 전망 1%p 상향
",X,0
"[시장의 눈]7월 증시 대응 전략은…""'중소형주·코넥스·우선주'로 뚫어라""",X,0
메르스 여파 관광산업 지원 법무부 브리핑,X,0
"마이크로소프트, 일반 이용자 대상 '비밀번호 없는 로그인 기능' 도입",X,0
"UAE·카타르, 한국 메르스 여행주의 ‘해제’… 홍콩은?",O,1
"한은, 기준금리 또 전격 인하",X,0
700 이상서 조정가능성 매우 높아-삼성(상보),X,0
조간 브리핑 (9월 30일),X,0
공항 방역,O,1
카시트계 토종 쌍두마차 '다이치·순성' 실적은?,X,0
AI 창궐속 전남 동물복지 농장은 '안전지대',O,1
[경향포토]국민 앞에 고개 숙인 삼성,X,0
조성은 “‘제보 사주’ 기괴한 단어…기가 막힌다”,X,0
"사회적 거리두기 내일 발표, 현행 단계 2주 연장 무게",O,1
"대한민국, 서태평양 지역 국가 최초로 풍진퇴치 인증",X,0
"현인택 통일부장관 ""개성공단 협상, 억류 문제와 연계…3通도 해결돼야""",X,0
"[런치리포트]""19대 국회, 이 법만은""⓹-감염병 전문병원",O,1
"행안위, `부산참사' 책임.대책 추궁",X,0
신혼집에 쏙 들어가는 소형 소파 마사지기…편안한 전동침대 추천,X,0
고창 AI로 '달걀 대란' 또 오나...제빵·외식업계도 긴장,O,1
"글로벌 담배업계, '코로나19' 백신 개발 박차",O,1
"서울 중구, 초·중·고등학생 사립 박물관·미술관 관람비 지원",X,0
"[CEO의 삶과 꿈] 첨단의료, 그리고 의료계 현실",X,0
다음달 분양물량 2만7천여가구…지난해 比 37%↓,X,0
'2차전지 클러스터' 연구 활동 착수,X,0
부산·경남 감소세에도 '긴장'…휴가 막바지 방역 고삐,X,0
"수도권 주간 평균 환자 역대 최다…""추석 이동 자제 당부""",O,1
그리스와 중국의 산을 넘어 - 메리츠,X,0
[Q&A] 예방접종 바로알기,O,1
"메르스 안심, 서울 택시",O,1
외신도 北 열병식 주목… “코로나·경제난 달래기 내수용” 분석,O,1
"국내 최대 관광농원 '허브아일랜드', 오는 11월10일까지 '2021년 사진공모전' 진행",X,0
소상공인 긴급금융지원 예산 4.1조→3.6조…단계적 축소,X,0
‘우한 생화학 무기 개발 음모론’ 40년 전 美 딘 쿤츠 소설 ‘재조명’,X,0
"이', 팔'수감자 석방..화해 기류 확산",X,0
대한민국 10년째 3만달러 못 넘고 있다,X,0
‘메르스’ 공포로 기꺾인 ‘경기부양책’ 어디로 가나,O,1
"안경덕 고용부 장관, IT기업 CEO에 ""청년채용 힘써달라""",X,0
"유승민 ""메르스 사태로 원격진료 시스템 필요성 대두"" (상보)",O,1
메르스 환자 닷새만에 추가.. 삼성서울병원 간호사 확진,O,1
"메르스 바이러스, 아시아·유럽까지 확산…치사율, 사스의 6배↑",O,1
신종플루 걸려도 학원은 ‘태연자약’,O,1
휠체어 타고 입국했는데 버젓이 통과…환자가 제발로 병원가서야 발견,O,1
문 대통령 오늘 몽골 대통령과 정상회담…“동북아 방역 협력 논의”,O,1
큰기러기도 AI 감염… 농가·방역당국 초긴장,O,1
"침묵 깬 손혜원, ‘이재명 표적수사 의혹’ 한동훈 직격…“죄 없는 나를 기소한 당신들”",X,0
"[30일 메르스 현황]신규 확진자 발생 ‘0’, 전체 격리자(2,638명) 중 자가격리자 2,098명",O,1
메르스 의심환자 2명 늘었지만 13명 모두 '음성',O,1
"충북도, 일반농산어촌개발 23곳 선정…104억원 확보",X,0
창원 여좌동에 '맘편한 놀이터' 17호점 개장,X,0
건대 집단 폐렴 증세...방선균이 원인?,O,1
"메르스 사태, 진상규명 촉구",O,1
<파워인터뷰>박형주 “논문 개수만 세는 학계 풍토서 어떻게 필즈상 나오겠나”,X,0
"""신종플루 백신 부작용 우려""",O,1
‘메르스 발생’ 카이저병원 재개원,O,1
[하모니] 희망을 노래합니다 미얀마 소녀 가수 완이화 - 4부,X,0
오산 최초 롯데캐슬...지역 최대 규모 특화 커뮤니티,X,0
"강릉 코로나19 확진자 13명(강릉 1,021~1,033번) 발생",O,1
독감환자로 붐비는 병원,X,0
美 신종플루 감염자 570만명 추정,O,1
"'폭우 피해' 충북 중부3군, 침수지역 등 집중방역",O,1
김주하 AI 앵커와 함께하는 이 시각 주요뉴스-9월 11일 오전 6시,X,0
가장 받고 싶은 추석선물 1위는?,X,0
전력거래소 ‘1회용품 사용 줄이기’ 실천 나서,X,0
메르스 치료법? 항바이러스제 약물 투여가 최선,O,1
"[WSF 포토]지미 웨일즈-진대제, '집단지성: 창조적 잠재력을 발휘하다'란 주제로 대담",X,0
"김해시, 2022년 주요업무계획 보고회 개최",X,0
장관 대덕단지 현장집무!,X,0
"수출·채용·창업 한 번에…서울시, 'G밸리 위크' 비대면 개최",X,0
[속보] '소득하위 88% 지급' 국민지원금 대상자 90% 지원금 받아,X,0
"나주시, 모기 천적 미꾸라지 6만8000마리 방사",X,0
"홍준표, 의전원 폐지 의대부활 검토…""수술실 CCTV는 입증책임 전환으로 풀어야""",X,0
"베이징, 마스크를 벗고 불안을 벗는다",O,1
"전남도교육청, 2017. 학교보건 및 급식 기본방향 설명회",X,0
트럼프가 복용한 8ｇ약은…실험용 美리제네론 항체 약물,X,0
"日,신종플루 감염환자 확인",O,1
"인천시, 폐막 한달 앞둔 도시축전 홍보전 총력",X,0
감염 위험 높이는 콩나물 병실 없앤다,O,1
한림화상재단 '서울안전한마당'서 국내 첫 메타버스 화상 교육 실시,X,0
"여기어때, 홀트와 아동 대상 CSR '여기 같이 어때' 시즌 2",X,0
"수원시,안전한 지역사회 만들기 모델사업에 선정…특별교부세 최대 36억원 지원받아",X,0
'지카 바이러스'확산 남미서 전세계로 …WHO 긴급회의,O,1
메르스와 日지진 악재…여행株 실적전망 하향-한국,O,1
[전예진의 토요약국] 신종 코로나바이러스 치료제 후보들,O,1
멕시코 교민들 “옮을라 병원가기 겁나요”,O,1
"경북도의회 예결특위, 경북도 ‧ 경북도교육청 제2회 추경예산 안 심사",X,0
[오늘의 주요일정]전북(6월26일 금요일),X,0
미쓰에서 와이프까지 ‘엄정화’여서 설득되는 이야기… 로맨틱 코미디 영화 ‘미쓰 와이프’의 엄정화,X,0
"안철수, 보건소서 코로나19 의료 봉사...명절 뒤 행보 주목",O,1
"롯데百 대구점, 우천시 우산·폭염시 쿨 머플러 증정",X,0
때이른 무더위ㆍ메르스 때문?…‘얼려먹는 제품’ 유통 효자 급부상,O,1
"'변동 주담대 기준' 코픽스, 일제히 상승…신규 잔액 취급 중단(종합)",X,0
[천자칼럼] 슈퍼 박테리아,X,0
"<속보> 박 대통령 ""메르스대응 문제점 점검, 대처방안 알려야""",O,1
[포토] 백신접종하는 시민들,O,1
"""에볼라 사망자 6300명 넘어서…최대 감염국은 시에라리온"" -WHO",O,1
"지하철 사고 일일행사 됐나…서울 1·3호선 멈춰 출근길 대피 소동
",X,0
“메르스 괴담 막으려면 관련 정보를 공개하시오”… 인터넷 요구 빗발,O,1
[신약강국 현장을 가다] 일양약품 김동연 사장 “‘끊고 맺음’ 확실해야 성공으로 직결”,X,0
"[금리인상기 재테크전략②] '피난처' 미국 ETF, 뭉칫돈 몰린다",X,0
비수기 맞아?…'항공권 구하기' 하늘의 별따기,X,0
美 '고용쇼크'에 연준 테이퍼링 늦추나…이번주 '베이지북' 주목,X,0
"“현 저금리 기조, 이득이 손실보다 크다”",X,0
"복지부-의료노조, 총파업 5시간 앞두고 극적 타결…""파업 철회""(상보)",X,0
"서울대병원, 간 이식 수혜자 복강경·로봇 이용 수술 성공",X,0
에볼라 숙주 과일박쥐 200마리 수입 논란,O,1
"간호사 딸 “父, AZ 백신 접종 후 대장 괴사” 靑청원",O,1
[면세점大戰②]오너2~4세 진검승부…경영능력 시험대,X,0
[종합]이번엔 한우…보은서 또 구제역 의심 신고,O,1
"朴대통령 ""위기 극복하려면 과학기술로 과감히 혁신해야""",X,0
박지원 “새누리는 靑 하청회사·유승민은 비정규직 직원?”,X,0
"파우치 ""코로나19 최악의 상황 아냐…내달이 고비""(종합)",O,1
전경련 30대그룹 사장단 경제난 극복 공동성명,X,0
"""금메달도 예외없다""… 푸틴 만나려면 자가격리에 코로나 검사만 3번",O,1
추석 연휴 부부싸움하다 불 질러…처지 비관해 방화 시도도,X,0
"(주)골든블루, 취약계층의 따뜻한 추석을 위한 희망상자 전달",X,0
"사천시보건소, 복지시설 종사자 신종플루 예방교육",O,1
"재계 ""온실가스 감축목표, 암덩어리 규제"" 강력반발",X,0
"[국감 중간결산]""몸이 아파서"" ""난 몰라요""...증인 워스트 7",X,0
"전남소방 119수상구조대, 안전지킴이 역할 '톡톡'",X,0
"[베스트리포트]인터파크홀딩스, 인터파크 뱅크를 향해서",X,0
"제주, 추석까지 '거리두기 4단계' 연장… 신규 확진자 10명 추가",O,1
"복지부 ""메르스 확진환자 완치 판정""…일반병실로 이동",O,1
‘원투펀치’로 요동친 주가…2분기 실적에 달렸다,X,0
뻥뚫린 메르스 방역…의심환자 중국 출국 몰랐다,O,1
용산지킴이 박래군의 마지막 바람,X,0
"[파워시프트 '차이나'] (下) 지방분권화 가속
",X,0
"[오늘의 과학자]스트레스성 단백질, 분해·조절 가능해진다",X,0
여름휴가는 법에서 정해진 휴가인가?,X,0
[이 시각 뉴스룸] '최저임금 반발' 민주노총 총파업…개정안 국회통과,X,0
[여름시즌 증시명암]여름인데…여행株 체면 말이 아니네,X,0
"중산층도 플래티늄카드 붐…연회비내면 골프등 혜택 많아
",X,0
"한밭수목원, 9월부터 매주 토요일 '주말생태학교'",X,0
하루확진 2080명… 델타변이 기승에 수도권 대유행,O,1
지카바이러스 의심환자 현황 살펴보는 정진엽 장관,O,1
‘기념주화‧메달로 알아보는 조폐공사 70주년’ 특별전시회,X,0
SI 추정환자 동행인 이미 1명 귀국…특별한 증상은 없어,O,1
"부산시, ‘감염병 예고제’  전국 첫 시행",O,1
[인포그래픽] 올해 가장 접하고 싶지 않은 뉴스 2위 '메르스'…1위는?,O,1
광주·전남 보건의료노조 파업 ‘이틀째’,X,0
"홍남기 ""말 바꾸기 아냐…재정건전성 고려해야 한다는 말""",X,0
"신종플루, 재난단계 상향 조정은 언제쯤?",O,1
"""부모님 뵙고 싶지만..."" 국민 80% 추석 연휴 고향 안 간다",X,0
"모간,""괴질로 亞 경제성장률 전망↓""
",O,1
"""베트남을 초록빛으로 물들인 기적""",X,0
‘난방기 보다 공기청정기’,X,0
여행 갈 땐 야놀자 매거진…조회수 121% 증가,X,0
김천시 ‘디지털 물류서비스 실증 지원사업’ 협약,X,0
"""결국 시흥에도 메르스가""…시민들 ""혹시나 하는 우려가 현실로""",O,1
<전국 주요신문 톱뉴스>(4월2일자 조간),O,1
'코로나 검사는 언제쯤',O,1
재정 확보 위해 '부자 증세·법인세 인상'…찬성 50% vs 반대 43%,X,0
"여수시, 여순사건 특별법 후속조치 전 시민 대상 의견수렴 나서",X,0
"감염 우려 때문에…신종플루, 여행·외식 '직격탄'",O,1
메르스 6차례 검사 초등생에 '영국서 격려 선물',O,1
송북시장 찾은 황교안 총리,X,0
내년 건강보험료 0.9% 인상 결정…'얼마 더 내는지 계산해보니?',X,0
"[건강한 인터넷]‘건넷 메아리’ 전국으로 확산
",X,0
"황금연휴 잡아라…百, 정기 세일 돌입",X,0
KT 황창규 회장 “로밍 빅데이터로 감염병 차단”,O,1
"홍콩독감, 메르스 잠잠해지니까…백신도 없다",O,1
청주시 반려견 놀이터 다음 달 5일 재개장,X,0
메르스 음압격리병동 찾은 황교안 총리,O,1
'서울 메르스  의사' 접촉자만 수천명 이를 듯,O,1
"문형표, 메르스 담화…“노출 병원 다녀간 사람 주의 당부”",O,1
"""거부하면 비리 자인""…野, 이재명 '대장동 의혹 특검' 압박",X,0
美 에볼라 잠복기 지난 던컨 접촉자 43명 일상 복귀… 불안은 계속,O,1
EU 대표단 22일 북한 방문…14차 정치대화,X,0
병원인가 접종센터인가…‘접종자’에 밀린 환자 진료에 일선 병원 북새통,O,1
"정부, 신종플루 `심각` 단계로 곧 상향",O,1
"홈앤쇼핑, 전통시장 소상공인 위해 1억원 지원한다",X,0
"거창국제연극제, 지난 20년의 성과와 기록",X,0
"[속보]신규 확진자 2564명, 또 '요일 최다' 경신…1주일째",O,1
"한국은행, 기준금리 0.25%p 전격 인상..2년 9개월만에 처음",X,0
K콘텐츠의 미래 조망… 6일부터 ‘국제방송영상마켓 2021’ 개최,X,0
"제주항공, 9월부터 중국노선 본격 운항 재개",X,0
"제주서 첫 SFTS 환자 발생…""야외활동 시 진드기 조심""",O,1
"광주광역시 남구, ‘양궁 인기’ 국궁으로 이어간다",X,0
상반기 온라인 쇼핑 트렌드 '착한 소비',X,0
답변하는 문형표-고민 많은 최경환,X,0
“북한과 언제 어디서든 만날 준비”…남북 인도적 협력 지지,X,0
"최대호 안양시장, “착한 쇼핑에 시민 많은 참여 기대”",X,0
GKL 1분기 실적 컨센서스 대비 양호… 주가 소폭 오름세,X,0
셀트리온 슈퍼항체치료제 개발,O,1
"롯데관광개발, 여름 성수기 영향 3Q 호실적 기대-KB證",X,0
"""미, 가을에 신종플루 발병 늘 듯""",O,1
"군산시,추석 연휴 안전 및 민생경제 지원 등 분야별 종합대책 추진",X,0
국군의 날 앞두고 어제 총연습,X,0
"[Hot-Line] 유니더스, 정액서 지카 6개월 이상 생존 소식에 ‘강세’",O,1
MBN 06시 주요뉴스,X,0
"올해 방한 외국인 관광객 사상 최대 17,00만명 돌파",X,0
"""FDA, 코로나 치료제 승인""…뉴욕증시 50일來 최고치",O,1
신규 확진 첫 3천명대…전국 대확산 비상,O,1
C형 간염 집단감염으로 다시 떠오른 '주사기 재사용'… '비용 문제'로 만연,O,1
결핵환자 줄어도 2만명대 OECD 1위…한국 '결핵관리 후진국' 오명 왜 못벗나,X,0
'에볼라 노출 가능성' 긴급구호대 1명 독일로 출발,O,1
"롯데백화점, 일산 킨텍스서 최대 80% '출장 세일'",X,0
‘메르스 탓’…3분기 외국인 카드 대금 급감,O,1
"다날, 인천공항면세점 모바일 결제사업 진출",X,0
[산업 이야기] '만능상자'MP3플레이어 뜬다,X,0
[Cover Story] 美 소비회복 수혜볼 IT·금융섹터펀드·ETF 노려볼만,X,0
"당정, 테러방지 예산 천억 원 추가 배정",X,0
"경기·충남 야생조류 분변, 고병원성 AI 확진",O,1
‘사실상 종식 선언’ 메르스 확진자 186명 현황,O,1
[박근혜 영장심사] '최초' 기록 넘치는 근혜씨의 마지막 운명은?,X,0
"메르스 여파,한강 수영장 17일 개장",O,1
"'냉가슴' SK...면세점 세차례 연속고배, 로비 의혹만",X,0
"[경기 양극화] 외국인 순매수 행진…증시 상승
",X,0
"""AI 방역 강화""…전북 등 12개 시·도에 특교세 56억원 긴급 지원",O,1
AI 발생에 전국이 초비상 국면,O,1
"이기우 부지사, ""메르스 도민 심리지원 최선 다해 달라""",O,1
수액주사 맞고…C형간염 집단감염,O,1
"중국, 사스 사망자 4명·환자 26명 늘어",O,1
"한화갤러리아타임월드, 올해부터 제주공항 면세점 실적은 정상 궤도에 진입할 것",X,0
"[거래소] 농심,1분기 실적호조..매수유지-대우
",X,0
메르스 대응 상황점검하는 김부겸 장관,O,1
[영상] 코로나19 치료제 개발 임박?…렘데시비르 효과 주목,O,1
국내 메르스 첫 환자 회복해 곧 퇴원···아내는 이미 퇴원,O,1
안양 신종플루 고교생 등 28명 회복,O,1
[10·28 재보선] 격전지 ‘수원 장안’ 젊은층이 승패 갈라,X,0
"<이라크戰>이라크 남부, 게릴라전 지속",X,0
메르스 확진 사망자 2명 늘어 총 29명(속보),O,1
"상반기 신용보증 지원 확대...중기청
",X,0
이코노미스트지가 본 2010 세계 전망,X,0
<어떻게 생각하십니까?> 官주도 태극기 70일 달기 운동…애국심 고취? 시대착오적 행정?,X,0
"충북도, 12~17세·임산부 코로나19 백신접종 시행",O,1
"""보건복지부는 삼성병원 편들어 공기감염 됐다면 파국 맞았을 수도""",O,1
"경북 상주, 8500억원 대규모 전기차 배터리 신소재 공장 유치 … 죽은 산단 살려냈다",X,0
"LG, 돈 풀고 행사 후원… 메르스·가뭄 극복 앞장",X,0
[여담야설] '콘크리트 지지층' 가진 박근혜·문재인의 특권,X,0
"KOTRA, 한미 백신 협력 협약식 개최…韓 백신 산업 세계화 지원",O,1
중소기업계 “소상공인 생존 위해 방역 체계를 신속 개편”,O,1
"정부, 3개월 연속 ""내수 불확실성 증가"" 진단...수출 위축 우려도",X,0
"35번 의사환자 상태 “뇌사 논할 단계 아냐, 에크모 적용 중”",X,0
"경기도, 22일 메르스 대응 과정 담은 '메르스 인사이드' 공개",O,1
시에라리온서 에볼라 감염 11번째 의사 발생,O,1
높아진 국격… ‘유엔 대표’ 문 대통령과 ‘특별 사절’ BTS,X,0
